19880712T,0.36,0.36,0.36,0.36,0.0
19890707T,0.26,0.26,0.26,0.26,0.0
19870807T,0.56,0.56,0.56,0.56,0.0
19880802T,0.45,0.45,0.45,0.45,0.0
19880809T,0.66,0.66,0.66,0.66,0.0
19890804T,0.52,0.52,0.52,0.52,0.0
19870904T,0.42,0.42,0.42,0.42,0.0
19870911T,0.5,0.5,0.5,0.5,0.0
19880906T,0.6,0.6,0.6,0.6,0.0
19890901T,0.53,0.53,0.53,0.53,0.0
19871002T,0.44,0.44,0.44,0.44,0.0
19871009T,0.46,0.46,0.46,0.46,0.0
19881004T,0.37,0.37,0.37,0.37,0.0
19881011T,0.39,0.39,0.39,0.39,0.0
19891006T,0.44,0.44,0.44,0.44,0.0
19871106T,0.47,0.47,0.47,0.47,0.0
19881101T,0.31,0.31,0.31,0.31,0.0
19881108T,0.39,0.39,0.39,0.39,0.0
19891103T,0.27,0.27,0.27,0.27,0.0
19871204T,0.25,0.25,0.25,0.25,0.0
19871211T,0.23,0.23,0.23,0.23,0.0
19881206T,0.33,0.33,0.33,0.33,0.0
19881212T,0.28,0.28,0.28,0.28,0.0
19891207T,0.25,0.25,0.25,0.25,0.0
19880108T,0.34,0.34,0.34,0.34,0.0
19890103T,0.34,0.34,0.34,0.34,0.0
19890110T,0.21,0.21,0.21,0.21,0.0
19900105T,0.26,0.26,0.26,0.26,0.0
19880205T,0.32,0.32,0.32,0.32,0.0
19880212T,0.32,0.32,0.32,0.32,0.0
19890207T,0.27,0.27,0.27,0.27,0.0
19900202T,0.3,0.3,0.3,0.3,0.0
19880304T,0.38,0.38,0.38,0.38,0.0
19880311T,0.43,0.43,0.43,0.43,0.0
19890306T,0.41,0.41,0.41,0.41,0.0
19900301T,0.45,0.45,0.45,0.45,0.0
19880401T,0.35,0.35,0.35,0.35,0.0
19880408T,0.33,0.33,0.33,0.33,0.0
19890403T,0.23,0.23,0.23,0.23,0.0
19890410T,0.23,0.23,0.23,0.23,0.0
19900405T,0.22,0.22,0.22,0.22,0.0
19880506T,0.38,0.38,0.38,0.38,0.0
19890501T,0.19,0.19,0.19,0.19,0.0
19890508T,0.23,0.23,0.23,0.23,0.0
19900503T,0.28,0.28,0.28,0.28,0.0
19880603T,0.26,0.26,0.26,0.26,0.0
19880610T,0.28,0.28,0.28,0.28,0.0
19890605T,0.29,0.29,0.29,0.29,0.0
19890612T,0.33,0.33,0.33,0.33,0.0
19880701T,0.45,0.45,0.45,0.45,0.0
19880708T,0.35,0.35,0.35,0.35,0.0
19890703T,0.26,0.26,0.26,0.26,0.0
19890710T,0.16,0.16,0.16,0.16,0.0
19900705T,0.23,0.23,0.23,0.23,0.0
19880805T,0.21,0.21,0.21,0.21,0.0
19880812T,0.26,0.26,0.26,0.26,0.0
19890807T,0.19,0.19,0.19,0.19,0.0
19900802T,0.28,0.28,0.28,0.28,0.0
19880902T,0.18,0.18,0.18,0.18,0.0
19880909T,0.17,0.17,0.17,0.17,0.0
19890904T,0.24,0.24,0.24,0.24,0.0
19890911T,0.2,0.2,0.2,0.2,0.0
19900906T,0.26,0.26,0.26,0.26,0.0
19881007T,0.13,0.13,0.13,0.13,0.0
19891002T,0.22,0.22,0.22,0.22,0.0
19891009T,0.26,0.26,0.26,0.26,0.0
19901004T,0.4,0.4,0.4,0.4,0.0
19881104T,0.35,0.35,0.35,0.35,0.0
19881111T,0.23,0.23,0.23,0.23,0.0
19891106T,0.3,0.3,0.3,0.3,0.0
19901101T,0.17,0.17,0.17,0.17,0.0
19881202T,0.19,0.19,0.19,0.19,0.0
19881209T,0.17,0.17,0.17,0.17,0.0
19891204T,0.24,0.24,0.24,0.24,0.0
19891211T,0.22,0.22,0.22,0.22,0.0
19901206T,0.24,0.24,0.24,0.24,0.0
19890106T,0.26,0.26,0.26,0.26,0.0
19900101T,0.36,0.36,0.36,0.36,0.0
19900108T,0.36,0.36,0.36,0.36,0.0
19910103T,0.32,0.32,0.32,0.32,0.0
19890203T,0.33,0.33,0.33,0.33,0.0
19890210T,0.43,0.43,0.43,0.43,0.0
19900205T,0.42,0.42,0.42,0.42,0.0
19900212T,0.29,0.29,0.29,0.29,0.0
19890303T,0.29,0.29,0.29,0.29,0.0
19890310T,0.13,0.13,0.13,0.13,0.0
19900305T,0.28,0.28,0.28,0.28,0.0
19900311T,0.29,0.29,0.29,0.29,0.0
19910307T,0.18,0.18,0.18,0.18,0.0
19890407T,0.23,0.23,0.23,0.23,0.0
19900402T,0.25,0.25,0.25,0.25,0.0
19900409T,0.21,0.21,0.21,0.21,0.0
19910404T,0.31,0.31,0.31,0.31,0.0
19890505T,0.3,0.3,0.3,0.3,0.0
19890512T,0.38,0.38,0.38,0.38,0.0
19900507T,0.43,0.43,0.43,0.43,0.0
19910502T,0.48,0.48,0.48,0.48,0.0
19890602T,0.42,0.42,0.42,0.42,0.0
19890609T,0.43,0.43,0.43,0.43,0.0
19900604T,0.32,0.32,0.32,0.32,0.0
19900611T,0.33,0.33,0.33,0.33,0.0
19910606T,0.4,0.4,0.4,0.4,0.0
19890707T,0.37,0.37,0.37,0.37,0.0
19900702T,0.22,0.22,0.22,0.22,0.0
19900709T,0.32,0.32,0.32,0.32,0.0
19910704T,0.41,0.41,0.41,0.41,0.0
19890804T,0.35,0.35,0.35,0.35,0.0
19890811T,0.53,0.53,0.53,0.53,0.0
19900806T,0.35,0.35,0.35,0.35,0.0
19910801T,0.45,0.45,0.45,0.45,0.0
19890901T,0.34,0.34,0.34,0.34,0.0
19890908T,0.3,0.3,0.3,0.3,0.0
19900903T,0.31,0.31,0.31,0.31,0.0
19900910T,0.24,0.24,0.24,0.24,0.0
19910905T,0.33,0.33,0.33,0.33,0.0
19891006T,0.24,0.24,0.24,0.24,0.0
19901001T,0.28,0.28,0.28,0.28,0.0
19901008T,0.39,0.39,0.39,0.39,0.0
19911003T,0.36,0.36,0.36,0.36,0.0
19891103T,0.37,0.37,0.37,0.37,0.0
19891110T,0.27,0.27,0.27,0.27,0.0
19901105T,0.24,0.24,0.24,0.24,0.0
19901110T,0.27,0.27,0.27,0.27,0.0
19891201T,0.28,0.28,0.28,0.28,0.0
19891208T,0.31,0.31,0.31,0.31,0.0
19901203T,0.42,0.42,0.42,0.42,0.0
19901210T,0.36,0.36,0.36,0.36,0.0
19911205T,0.35,0.35,0.35,0.35,0.0
19900105T,0.4,0.4,0.4,0.4,0.0
19900112T,0.45,0.45,0.45,0.45,0.0
19910107T,0.31,0.31,0.31,0.31,0.0
19920102T,0.24,0.24,0.24,0.24,0.0
19900202T,0.15,0.15,0.15,0.15,0.0
19900209T,0.19,0.19,0.19,0.19,0.0
19910204T,0.23,0.23,0.23,0.23,0.0
19910211T,0.24,0.24,0.24,0.24,0.0
19900302T,0.21,0.21,0.21,0.21,0.0
19900309T,0.22,0.22,0.22,0.22,0.0
19910304T,0.25,0.25,0.25,0.25,0.0
19910311T,0.37,0.37,0.37,0.37,0.0
19920306T,0.34,0.34,0.34,0.34,0.0
19900406T,0.38,0.38,0.38,0.38,0.0
19900412T,0.27,0.27,0.27,0.27,0.0
19910408T,0.34,0.34,0.34,0.34,0.0
19920403T,0.28,0.28,0.28,0.28,0.0
19900504T,0.2,0.2,0.2,0.2,0.0
19900511T,0.28,0.28,0.28,0.28,0.0
19910506T,0.37,0.37,0.37,0.37,0.0
19920501T,0.39,0.39,0.39,0.39,0.0
19900601T,0.37,0.37,0.37,0.37,0.0
19900608T,0.35,0.35,0.35,0.35,0.0
19910603T,0.43,0.43,0.43,0.43,0.0
19910610T,0.34,0.34,0.34,0.34,0.0
19920605T,0.31,0.31,0.31,0.31,0.0
19900706T,0.28,0.28,0.28,0.28,0.0
19910701T,0.4,0.4,0.4,0.4,0.0
19910708T,0.4,0.4,0.4,0.4,0.0
19920703T,0.52,0.52,0.52,0.52,0.0
19900803T,0.26,0.26,0.26,0.26,0.0
19900810T,0.25,0.25,0.25,0.25,0.0
19910805T,0.18,0.18,0.18,0.18,0.0
19910812T,0.25,0.25,0.25,0.25,0.0
19920807T,0.23,0.23,0.23,0.23,0.0
19900907T,0.33,0.33,0.33,0.33,0.0
19910902T,0.16,0.16,0.16,0.16,0.0
19910909T,0.13,0.13,0.13,0.13,0.0
19920904T,0.26,0.26,0.26,0.26,0.0
19901005T,0.15,0.15,0.15,0.15,0.0
19901012T,0.21,0.21,0.21,0.21,0.0
19911007T,0.13,0.13,0.13,0.13,0.0
19921002T,0.23,0.23,0.23,0.23,0.0
19901102T,0.2,0.2,0.2,0.2,0.0
19901109T,0.2,0.2,0.2,0.2,0.0
19911104T,0.12,0.12,0.12,0.12,0.0
19911109T,0.16,0.16,0.16,0.16,0.0
19921106T,0.22,0.22,0.22,0.22,0.0
19901207T,0.26,0.26,0.26,0.26,0.0
19911202T,0.31,0.31,0.31,0.31,0.0
19911209T,0.16,0.16,0.16,0.16,0.0
19921204T,0.3,0.3,0.3,0.3,0.0
19910104T,0.31,0.31,0.31,0.31,0.0
19910111T,0.22,0.22,0.22,0.22,0.0
19920106T,0.22,0.22,0.22,0.22,0.0
19930101T,0.25,0.25,0.25,0.25,0.0
19910201T,0.29,0.29,0.29,0.29,0.0
19910208T,0.36,0.36,0.36,0.36,0.0
19920203T,0.46,0.46,0.46,0.46,0.0
19920210T,0.57,0.57,0.57,0.57,0.0
19910301T,0.5,0.5,0.5,0.5,0.0
19910308T,0.5,0.5,0.5,0.5,0.0
19920303T,0.55,0.55,0.55,0.55,0.0
19920310T,0.42,0.42,0.42,0.42,0.0
19930305T,0.47,0.47,0.47,0.47,0.0
19910405T,0.58,0.58,0.58,0.58,0.0
19910412T,0.43,0.43,0.43,0.43,0.0
19920407T,0.39,0.39,0.39,0.39,0.0
19930402T,0.55,0.55,0.55,0.55,0.0
19910503T,0.39,0.39,0.39,0.39,0.0
19910510T,0.38,0.38,0.38,0.38,0.0
19920505T,0.42,0.42,0.42,0.42,0.0
19920512T,0.38,0.38,0.38,0.38,0.0
19930507T,0.42,0.42,0.42,0.42,0.0
19910607T,0.46,0.46,0.46,0.46,0.0
19920602T,0.47,0.47,0.47,0.47,0.0
19920609T,0.44,0.44,0.44,0.44,0.0
19930604T,0.28,0.28,0.28,0.28,0.0
19910703T,0.28,0.28,0.28,0.28,0.0
19910712T,0.41,0.41,0.41,0.41,0.0
19920707T,0.27,0.27,0.27,0.27,0.0
19930702T,0.35,0.35,0.35,0.35,0.0
19910802T,0.33,0.33,0.33,0.33,0.0
19910809T,0.26,0.26,0.26,0.26,0.0
19920804T,0.37,0.37,0.37,0.37,0.0
19920811T,0.32,0.32,0.32,0.32,0.0
19930806T,0.41,0.41,0.41,0.41,0.0
19910906T,0.36,0.36,0.36,0.36,0.0
19920901T,0.43,0.43,0.43,0.43,0.0
19920908T,0.32,0.32,0.32,0.32,0.0
19930903T,0.31,0.31,0.31,0.31,0.0
19911004T,0.35,0.35,0.35,0.35,0.0
19911011T,0.39,0.39,0.39,0.39,0.0
19921006T,0.3,0.3,0.3,0.3,0.0
19931001T,0.31,0.31,0.31,0.31,0.0
19911101T,0.52,0.52,0.52,0.52,0.0
19911108T,0.32,0.32,0.32,0.32,0.0
19921103T,0.38,0.38,0.38,0.38,0.0
19921110T,0.48,0.48,0.48,0.48,0.0
19931103T,0.33,0.33,0.33,0.33,0.0
19911206T,0.23,0.23,0.23,0.23,0.0
19921201T,0.33,0.33,0.33,0.33,0.0
19921208T,0.36,0.36,0.36,0.36,0.0
19931203T,0.39,0.39,0.39,0.39,0.0
19920103T,0.49,0.49,0.49,0.49,0.0
19920110T,0.48,0.48,0.48,0.48,0.0
19930105T,0.51,0.51,0.51,0.51,0.0
19930112T,0.46,0.46,0.46,0.46,0.0
19940107T,0.47,0.47,0.47,0.47,0.0
19920207T,0.36,0.36,0.36,0.36,0.0
19930202T,0.46,0.46,0.46,0.46,0.0
19930209T,0.47,0.47,0.47,0.47,0.0
19940204T,0.43,0.43,0.43,0.43,0.0
19920306T,0.45,0.45,0.45,0.45,0.0
19930301T,0.38,0.38,0.38,0.38,0.0
19930308T,0.48,0.48,0.48,0.48,0.0
19940303T,0.43,0.43,0.43,0.43,0.0
19920403T,0.35,0.35,0.35,0.35,0.0
19920410T,0.43,0.43,0.43,0.43,0.0
19930405T,0.37,0.37,0.37,0.37,0.0
19930412T,0.52,0.52,0.52,0.52,0.0
19920501T,0.29,0.29,0.29,0.29,0.0
19920508T,0.43,0.43,0.43,0.43,0.0
19930503T,0.4,0.4,0.4,0.4,0.0
19930510T,0.48,0.48,0.48,0.48,0.0
19940505T,0.41,0.41,0.41,0.41,0.0
19920605T,0.41,0.41,0.41,0.41,0.0
19920612T,0.31,0.31,0.31,0.31,0.0
19930607T,0.35,0.35,0.35,0.35,0.0
19940602T,0.39,0.39,0.39,0.39,0.0
19920702T,0.21,0.21,0.21,0.21,0.0
19920709T,0.23,0.23,0.23,0.23,0.0
19930705T,0.29,0.29,0.29,0.29,0.0
19930712T,0.32,0.32,0.32,0.32,0.0
19940707T,0.22,0.22,0.22,0.22,0.0
19920805T,0.28,0.28,0.28,0.28,0.0
19930802T,0.26,0.26,0.26,0.26,0.0
19930809T,0.22,0.22,0.22,0.22,0.0
19940804T,0.3,0.3,0.3,0.3,0.0
19920904T,0.14,0.14,0.14,0.14,0.0
19920911T,0.22,0.22,0.22,0.22,0.0
19930906T,0.21,0.21,0.21,0.21,0.0
19940901T,0.25,0.25,0.25,0.25,0.0
19921002T,0.3,0.3,0.3,0.3,0.0
19921009T,0.21,0.21,0.21,0.21,0.0
19931004T,0.2,0.2,0.2,0.2,0.0
19931011T,0.21,0.21,0.21,0.21,0.0
19941006T,0.35,0.35,0.35,0.35,0.0
19921106T,0.49,0.49,0.49,0.49,0.0
19931101T,0.37,0.37,0.37,0.37,0.0
19931108T,0.48,0.48,0.48,0.48,0.0
19941101T,0.43,0.43,0.43,0.43,0.0
19921204T,0.37,0.37,0.37,0.37,0.0
19921211T,0.43,0.43,0.43,0.43,0.0
19931206T,0.63,0.63,0.63,0.63,0.0
19931212T,0.55,0.55,0.55,0.55,0.0
19930101T,0.6,0.6,0.6,0.6,0.0
19930108T,0.2,0.2,0.2,0.2,0.0
19940103T,0.54,0.54,0.54,0.54,0.0
19940110T,0.41,0.41,0.41,0.41,0.0
19950105T,0.4,0.4,0.4,0.4,0.0
19930205T,0.44,0.44,0.44,0.44,0.0
19930212T,0.47,0.47,0.47,0.47,0.0
19940207T,0.46,0.46,0.46,0.46,0.0
19950202T,0.34,0.34,0.34,0.34,0.0
19930305T,0.27,0.27,0.27,0.27,0.0
19930312T,0.45,0.45,0.45,0.45,0.0
19940307T,0.41,0.41,0.41,0.41,0.0
19950302T,0.43,0.43,0.43,0.43,0.0
19930402T,0.37,0.37,0.37,0.37,0.0
19930409T,0.32,0.32,0.32,0.32,0.0
19940404T,0.31,0.31,0.31,0.31,0.0
19940411T,0.28,0.28,0.28,0.28,0.0
19950406T,0.22,0.22,0.22,0.22,0.0
19930507T,0.21,0.21,0.21,0.21,0.0
19940502T,0.2,0.2,0.2,0.2,0.0
19940509T,0.21,0.21,0.21,0.21,0.0
19950504T,0.24,0.24,0.24,0.24,0.0
19930604T,0.33,0.33,0.33,0.33,0.0
19930611T,0.23,0.23,0.23,0.23,0.0
19940606T,0.22,0.22,0.22,0.22,0.0
19950601T,0.28,0.28,0.28,0.28,0.0
19930702T,0.18,0.18,0.18,0.18,0.0
19930709T,0.21,0.21,0.21,0.21,0.0
19940704T,0.22,0.22,0.22,0.22,0.0
19940711T,0.24,0.24,0.24,0.24,0.0
19950706T,0.25,0.25,0.25,0.25,0.0
19930806T,0.26,0.26,0.26,0.26,0.0
19940801T,0.25,0.25,0.25,0.25,0.0
19940808T,0.29,0.29,0.29,0.29,0.0
19950803T,0.27,0.27,0.27,0.27,0.0
19930903T,0.38,0.38,0.38,0.38,0.0
19930910T,0.3,0.3,0.3,0.3,0.0
19940905T,0.32,0.32,0.32,0.32,0.0
19940912T,0.28,0.28,0.28,0.28,0.0
19931001T,0.26,0.26,0.26,0.26,0.0
19931008T,0.29,0.29,0.29,0.29,0.0
19941003T,0.31,0.31,0.31,0.31,0.0
19941010T,0.42,0.42,0.42,0.42,0.0
19951005T,0.43,0.43,0.43,0.43,0.0
19931104T,0.32,0.32,0.32,0.32,0.0
19931111T,0.35,0.35,0.35,0.35,0.0
19941106T,0.34,0.34,0.34,0.34,0.0
19941112T,0.45,0.45,0.45,0.45,0.0
19931202T,0.33,0.33,0.33,0.33,0.0
19931209T,0.37,0.37,0.37,0.37,0.0
19941204T,0.33,0.33,0.33,0.33,0.0
19941211T,0.36,0.36,0.36,0.36,0.0
19951206T,0.44,0.44,0.44,0.44,0.0
19940106T,0.4,0.4,0.4,0.4,0.0
19950101T,0.38,0.38,0.38,0.38,0.0
19950108T,0.48,0.48,0.48,0.48,0.0
19960103T,0.41,0.41,0.41,0.41,0.0
19940203T,0.38,0.38,0.38,0.38,0.0
19940210T,0.49,0.49,0.49,0.49,0.0
19950205T,0.4,0.4,0.4,0.4,0.0
19950212T,0.41,0.41,0.41,0.41,0.0
19940303T,0.31,0.31,0.31,0.31,0.0
19940310T,0.29,0.29,0.29,0.29,0.0
19950305T,0.24,0.24,0.24,0.24,0.0
19950312T,0.29,0.29,0.29,0.29,0.0
19960307T,0.23,0.23,0.23,0.23,0.0
19940407T,0.28,0.28,0.28,0.28,0.0
19950402T,0.29,0.29,0.29,0.29,0.0
19950409T,0.26,0.26,0.26,0.26,0.0
19960404T,0.27,0.27,0.27,0.27,0.0
19940505T,0.32,0.32,0.32,0.32,0.0
19940512T,0.38,0.38,0.38,0.38,0.0
19950507T,0.22,0.22,0.22,0.22,0.0
19960502T,0.29,0.29,0.29,0.29,0.0
19940602T,0.39,0.39,0.39,0.39,0.0
19940609T,0.28,0.28,0.28,0.28,0.0
19950604T,0.32,0.32,0.32,0.32,0.0
19950611T,0.29,0.29,0.29,0.29,0.0
19960606T,0.32,0.32,0.32,0.32,0.0
19940707T,0.28,0.28,0.28,0.28,0.0
19950702T,0.25,0.25,0.25,0.25,0.0
19950709T,0.34,0.34,0.34,0.34,0.0
19960704T,0.27,0.27,0.27,0.27,0.0
19940804T,0.22,0.22,0.22,0.22,0.0
19940811T,0.34,0.34,0.34,0.34,0.0
19950806T,0.3,0.3,0.3,0.3,0.0
19960801T,0.32,0.32,0.32,0.32,0.0
19940901T,0.43,0.43,0.43,0.43,0.0
19940908T,0.47,0.47,0.47,0.47,0.0
19950903T,0.45,0.45,0.45,0.45,0.0
19950910T,0.37,0.37,0.37,0.37,0.0
19960905T,0.38,0.38,0.38,0.38,0.0
19941006T,0.33,0.33,0.33,0.33,0.0
19951001T,0.35,0.35,0.35,0.35,0.0
19951008T,0.39,0.39,0.39,0.39,0.0
19961003T,0.43,0.43,0.43,0.43,0.0
19941103T,0.4,0.4,0.4,0.4,0.0
19941110T,0.37,0.37,0.37,0.37,0.0
19951105T,0.39,0.39,0.39,0.39,0.0
19951111T,0.39,0.39,0.39,0.39,0.0
19961106T,0.44,0.44,0.44,0.44,0.0
19941208T,0.3,0.3,0.3,0.3,0.0
19951203T,0.33,0.33,0.33,0.33,0.0
19951210T,0.42,0.42,0.42,0.42,0.0
19961205T,0.4,0.4,0.4,0.4,0.0
19950105T,0.44,0.44,0.44,0.44,0.0
19950112T,0.36,0.36,0.36,0.36,0.0
19960107T,0.37,0.37,0.37,0.37,0.0
19970102T,0.38,0.38,0.38,0.38,0.0
19950202T,0.38,0.38,0.38,0.38,0.0
19950209T,0.34,0.34,0.34,0.34,0.0
19960204T,0.43,0.43,0.43,0.43,0.0
19960211T,0.46,0.46,0.46,0.46,0.0
19950302T,0.53,0.53,0.53,0.53,0.0
19950309T,0.48,0.48,0.48,0.48,0.0
19960304T,0.39,0.39,0.39,0.39,0.0
19960311T,0.47,0.47,0.47,0.47,0.0
19970306T,0.52,0.52,0.52,0.52,0.0
19950406T,0.42,0.42,0.42,0.42,0.0
19960401T,0.4,0.4,0.4,0.4,0.0
19960408T,0.37,0.37,0.37,0.37,0.0
19970403T,0.52,0.52,0.52,0.52,0.0
19950504T,0.42,0.42,0.42,0.42,0.0
19950511T,0.44,0.44,0.44,0.44,0.0
19960506T,0.42,0.42,0.42,0.42,0.0
19970501T,0.44,0.44,0.44,0.44,0.0
19950601T,0.39,0.39,0.39,0.39,0.0
19950608T,0.44,0.44,0.44,0.44,0.0
19960603T,0.36,0.36,0.36,0.36,0.0
19960610T,0.48,0.48,0.48,0.48,0.0
19970605T,0.35,0.35,0.35,0.35,0.0
19950706T,0.35,0.35,0.35,0.35,0.0
19960701T,0.44,0.44,0.44,0.44,0.0
19960708T,0.43,0.43,0.43,0.43,0.0
19970703T,0.41,0.41,0.41,0.41,0.0
19950803T,0.38,0.38,0.38,0.38,0.0
19950810T,0.4,0.4,0.4,0.4,0.0
19960805T,0.36,0.36,0.36,0.36,0.0
19960812T,0.35,0.35,0.35,0.35,0.0
19970807T,0.38,0.38,0.38,0.38,0.0
19950907T,0.37,0.37,0.37,0.37,0.0
19960902T,0.46,0.46,0.46,0.46,0.0
19960909T,0.46,0.46,0.46,0.46,0.0
19970904T,0.42,0.42,0.42,0.42,0.0
19951005T,0.39,0.39,0.39,0.39,0.0
19951012T,0.41,0.41,0.41,0.41,0.0
19961007T,0.47,0.47,0.47,0.47,0.0
19971002T,0.46,0.46,0.46,0.46,0.0
19951102T,0.47,0.47,0.47,0.47,0.0
19951109T,0.49,0.49,0.49,0.49,0.0
19961104T,0.46,0.46,0.46,0.46,0.0
19961110T,0.48,0.48,0.48,0.48,0.0
19971106T,0.51,0.51,0.51,0.51,0.0
19951207T,0.48,0.48,0.48,0.48,0.0
19961202T,0.51,0.51,0.51,0.51,0.0
19961209T,0.48,0.48,0.48,0.48,0.0
19971204T,0.46,0.46,0.46,0.46,0.0
19960104T,0.55,0.55,0.55,0.55,0.0
19960111T,0.55,0.55,0.55,0.55,0.0
19970106T,0.42,0.42,0.42,0.42,0.0
19980101T,0.36,0.36,0.36,0.36,0.0
19960201T,0.54,0.54,0.54,0.54,0.0
19960208T,0.53,0.53,0.53,0.53,0.0
19970203T,0.54,0.54,0.54,0.54,0.0
19970210T,0.49,0.49,0.49,0.49,0.0
19980205T,0.45,0.45,0.45,0.45,0.0
19960307T,0.44,0.44,0.44,0.44,0.0
19970302T,0.36,0.36,0.36,0.36,0.0
19970309T,0.47,0.47,0.47,0.47,0.0
19980304T,0.45,0.45,0.45,0.45,0.0
19960404T,0.4,0.4,0.4,0.4,0.0
19960411T,0.4,0.4,0.4,0.4,0.0
19970406T,0.36,0.36,0.36,0.36,0.0
19980401T,0.28,0.28,0.28,0.28,0.0
19960502T,0.48,0.48,0.48,0.48,0.0
19960509T,0.46,0.46,0.46,0.46,0.0
19970504T,0.37,0.37,0.37,0.37,0.0
19970511T,0.51,0.51,0.51,0.51,0.0
19980506T,0.61,0.61,0.61,0.61,0.0
19960606T,0.47,0.47,0.47,0.47,0.0
19970601T,0.49,0.49,0.49,0.49,0.0
19970608T,0.42,0.42,0.42,0.42,0.0
19980603T,0.42,0.42,0.42,0.42,0.0
19960703T,0.32,0.32,0.32,0.32,0.0
19960711T,0.4,0.4,0.4,0.4,0.0
19970706T,0.29,0.29,0.29,0.29,0.0
19980701T,0.3,0.3,0.3,0.3,0.0
19960801T,0.29,0.29,0.29,0.29,0.0
